"","city","state","postal_code","latitude","longitude","stars","review_count","categories","OpenSundays","Open7days","checkedin100","BusinessAcceptsCreditCards","RestaurantsTakeOut","RestaurantsPriceRange2","RestaurantsReservations","RestaurantsDelivery","GoodForKids","OutdoorSeating","RestaurantsAttire","garage","street","validated","lot","valet","WiFi","NoiseLevel","Caters","dessert","latenight","lunch","dinner","brunch","breakfast"
"11","Indian Trail","NC",28079,35.0492092,-80.6455685,3.5,95,"Nightlife, Bars","yes","yes","no","True","True","2","True","False","True","True","casual","False","False","False","True","False","free","loud","True","False","False","True","False","False","False"
"12","Charlotte","NC",28209,35.1744564,-80.8401575,4,81,"Fast Food, American (Traditional)","yes","no","yes","True","True","3","False","True","True","False","casual","False","False","False","True","False","no","quiet","True","False","False","True","True","False","False"
"13","Champaign","IL",61820,40.1100643,-88.229494,3,46,"Fast Food, American (Traditional)","yes","yes","no","True","True","2","True","True","True","False","casual","False","False","False","True","False","no","average","True","False","False","True","True","False","False"
"14","Stanley","NC",28164,35.3536635,-81.0889935,3,9,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","free","average","False","False","False","False","False","False","False"
"15","Champaign","IL",61820,40.117237,-88.2431919,4,116,"Nightlife, Bars","yes","no","yes","True","True","3","True","False","False","True","casual","True","True","False","False","False","free","average","True","False","False","False","False","False","False"
"16","Charlotte","NC",28226,35.088386,-80.862882,3.5,106,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","True","False","True","False","casual","False","False","False","True","False","no","average","False","False","False","False","True","False","False"
"17","Cornelius","NC",28031,35.483607,-80.877465,4,8,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","free","average","False","False","False","False","False","False","False"
"18","Concord","NC",28027,35.4046466,-80.6870528,4,9,"Sandwiches, Fast Food","yes","yes","no","True","True","2","False","True","True","False","casual","False","False","False","False","False","no","average","True","False","False","False","False","False","False"
"19","Charlotte","NC",28262,35.3099289,-80.754271,3.5,74,"Fast Food, American (Traditional)","yes","yes","yes","True","True","1","False","False","True","True","casual","False","False","False","True","False","no","average","True","False","False","True","True","False","False"
"20","Madison","WI",53715,43.0600205,-89.4005033,4,71,"Fast Food, American (Traditional)","yes","yes","no","False","True","1","False","False","True","False","casual","False","True","False","False","False","no","average","False","False","False","False","False","True","True"
"21","Charlotte","NC",28202,35.2285596703,-80.8452783837,4,131,"American (Traditional), Nightlife","yes","yes","yes","True","False","4","True","False","False","False","dressy","False","False","False","False","True","no","average","True","False","False","False","True","False","False"
"22","Madison","WI",53703,43.0792898936,-89.3905858144,2.5,72,"American (Traditional), Nightlife","yes","yes","no","True","True","2","True","False","True","True","casual","True","False","False","False","False","free","average","True","False","False","False","False","False","False"
"23","Fitchburg","WI",53711,43.0003778,-89.4258729,3,56,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","False","True","True","True","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"24","Madison","WI",53717,43.0732552,-89.5266501,3,136,"Fast Food, American (Traditional)","yes","yes","yes","True","False","2","False","False","True","False","casual","False","False","False","True","False","free","average","False","False","False","True","True","False","False"
"25","Concord","NC",28027,35.4140461,-80.6664857,2.5,14,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","no","average","True","False","False","False","False","False","False"
"26","Middleton","WI",53562,43.0960955,-89.5131921,2,24,"American (Traditional), Nightlife","yes","yes","no","True","False","1","False","False","False","True","casual","False","True","False","False","False","free","quiet","False","False","False","False","False","False","False"
"27","Madison","WI",53703,43.0885766,-89.3649736,2.5,87,"Nightlife, Bars","no","no","no","True","True","2","True","False","True","True","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"28","Champaign","IL",61820,40.1392818536,-88.2446583173,4,15,"Fast Food, American (Traditional)","no","no","no","True","True","1","False","False","True","False","casual","False","False","False","True","False","free","loud","True","False","False","True","False","False","False"
"29","Champaign","IL",61820,40.1032417,-88.2441637,3.5,402,"Sandwiches, Fast Food","yes","yes","yes","True","True","2","True","True","True","True","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"30","Charlotte","NC",28217,35.1684737768,-80.875257492,4.5,486,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","True","True","True","True","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"31","Matthews","NC",28105,35.1275266,-80.707971,3,98,"Nightlife, Bars","yes","yes","yes","True","True","2","False","True","True","False","casual","False","False","False","True","False","no","average","True","False","False","False","True","False","False"
"32","Mt. Holly","NC",28210,35.288949,-81.017299,2.5,10,"Sandwiches, Fast Food","yes","yes","no","True","True","2","False","True","False","False","casual","False","False","False","False","False","no","average","False","False","False","False","True","False","False"
"33","Matthews","NC",28105,35.119773,-80.7005629,3.5,59,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","no","average","False","False","False","True","True","False","False"
